Name,Email,Contact,DOB,Gender,ProductCategory,ProductCategory,BudgetRange,BulkInterest,LifestylePreferences,PreferredFlavors,StoragePreferences,DeliveryTimes,ChoosingReason,Suggestions
naveen,nks@gmail.com,7204586786,2024-12-21,Male,Snacks,Snacks,₹100 - ₹500,Yes,Non-Vegetarian,Herbal,Resealable Bags,Afternoon,dm;lwm,klljfew
naveen,nks@gmail.com,7204586786,2024-12-21,Male,Snacks,Snacks,₹100 - ₹500,Yes,Non-Vegetarian,Herbal,Resealable Bags,Afternoon,dm;lwm,klljfew
naveen,nks@gmail.com,7204586786,2024-12-21,Male,Snacks,Snacks,₹100 - ₹500,Yes,Non-Vegetarian,Herbal,Resealable Bags,Afternoon,dm;lwm,klljfew
naveen,nks@gmail.com,7204586786,2024-08-04,Male,Health Supplements,Health Supplements,₹100 - ₹500,No,Vegan,Spicy,Single-Use Sachets,Morning,wowww,Nice
naveen,nks@gmail.com,7204586786,2025-12-21,Male,Snacks,Snacks,₹100 - ₹500,No,Vegan,Spicy,Single-Use Sachets,Morning,yes,nice
naveen,nks@gmail.com,7204586786,2025-12-21,Male,Snacks,Snacks,₹100 - ₹500,No,Vegan,Spicy,Single-Use Sachets,Morning,yes,nice
naveen,nks@gmail.com,7204586786,2025-12-21,Male,Snacks,Snacks,₹100 - ₹500,No,Vegan,Spicy,Single-Use Sachets,Morning,yes,nice
naveen,nks@gmail.com,7204586786,2025-02-12,Male,Spices,Spices,₹500 - ₹1000,No,Gluten-Free,Tangy,Single-Use Sachets,Evening,l;wlmd,md'ls
naveen,nks@gmail.com,7204586786,2025-02-12,Male,Spices,Spices,₹500 - ₹1000,No,Gluten-Free,Tangy,Single-Use Sachets,Evening,l;wlmd,md'ls
naveen,nks@gmail.com,7204586786,2202-12-21,Female,Snacks,Snacks,₹500 - ₹1000,No,Gluten-Free,Tangy,Glass Jars,Afternoon,powepod,sxmcsa;l
naveen,nks@gmail.com,7204586786,2202-12-21,Female,Snacks,Snacks,₹500 - ₹1000,No,Gluten-Free,Tangy,Glass Jars,Afternoon,powepod,sxmcsa;l
tharun,nks@gmail.com,7204586786,12025-02-12,Female,Snacks,Snacks,₹100 - ₹500,No,Gluten-Free,Herbal,Single-Use Sachets,Evening,smncjs,"c m.s,"
karthik,nks@gmail.com,7204586786,2029-12-21,Female,Health Supplements,Health Supplements,₹500 - ₹1000,Yes,Vegetarian,Mild,Single-Use Sachets,No Preference,ieiyed,mncldnc
karthik,nks@gmail.com,7204586786,2029-12-21,Female,Health Supplements,Health Supplements,₹500 - ₹1000,Yes,Vegetarian,Mild,Single-Use Sachets,No Preference,ieiyed,mncldnc
akshata,nks@gmail.com,7204586786,2025-12-21,Male,Snacks,Snacks,₹500 - ₹1000,Yes,Vegetarian,Herbal,Glass Jars,Afternoon,uygihk,"mn,mb"
karthik,nks@gmail.com,7204586786,2978-12-21,Female,Health Supplements,Health Supplements,₹100 - ₹500,No,Sugar-Free,Tangy,Glass Jars,Afternoon,jghjg,kgkhjgk
vishva,nks@gmail.com,7204586786,2978-12-21,Female,Health Supplements,Health Supplements,₹100 - ₹500,No,Sugar-Free,Tangy,Glass Jars,Afternoon,jghjg,kgkhjgk
